,eng,nld,ita,fra,rus,dan,tur,fin,ind,ukr,pol,por,lat,kor,est,lav,glg,vie,cat,ces,eus,jpn,hun,hin,tel
0,eng,nld,ita,fra,rus,dan,tur,est,ind,ukr,ces,ita,lat,kor,est,lav,ita,lat,cat,ces,eus,kor,cat,hin,lav
1,dan,dan,cat,ita,ukr,eng,dan,fin,cat,rus,ukr,por,rus,lav,dan,rus,fra,pol,ita,ukr,hin,fin,por,nld,est
2,nld,ita,nld,por,ces,ita,eng,dan,por,ces,rus,cat,lav,dan,cat,ukr,cat,ind,por,rus,rus,ukr,dan,fra,fin
