train/target,pcm,amh,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,swl,lit,bel,mar,cop,tam,gle,hun,tel,afr
hr,0.1898,0.0838,0.1868,0.256,0.3416,0.4658,0.3314,0.0793,0.3506,0.245,0.406,0.4217,0.506,0.7112,0.46,0.6631,0.6525,0.6925,0.8596,0.8192,0.9479,0.7673,0.8609,0.8516,0.871,0.9357
ro,0.2003,0.1412,0.0539,0.2597,0.3292,0.387,0.3222,0.1884,0.324,0.2217,0.392,0.4018,0.5703,0.5726,0.4548,0.6144,0.6915,0.6104,0.7858,0.8058,0.9397,0.7563,0.8608,0.8464,0.8585,0.9333
sk,0.1584,0.1062,0.0398,0.2805,0.4224,0.4829,0.2978,0.1041,0.3081,0.1827,0.3745,0.3563,0.5588,0.6577,0.4702,0.6509,0.6277,0.6443,0.8538,0.8147,0.9427,0.7842,0.8144,0.8554,0.8779,0.9398
bg,0.0175,0.1306,0.143,0.1931,0.2205,0.2397,0.1551,0.1145,0.3772,0.1984,0.2563,0.4396,0.5374,0.6461,0.4683,0.648,0.7057,0.6849,0.835,0.8036,0.9483,0.7673,0.8701,0.8752,0.8863,0.9469
pt,0.2667,0.1185,0.1761,0.2786,0.3292,0.3596,0.2846,0.1398,0.3197,0.2536,0.4628,0.4098,0.5516,0.5496,0.3908,0.6161,0.6809,0.6377,0.8039,0.7924,0.944,0.7522,0.8659,0.8409,0.853,0.9352
nl,0.106,0.0861,0.0311,0.1492,0.264,0.2671,0.1934,0.0093,0.1994,0.0994,0.3068,0.2819,0.4238,0.5779,0.4344,0.5991,0.656,0.6292,0.8408,0.808,0.9449,0.7572,0.8557,0.8531,0.8821,0.9419
en,0.5337,0.0826,0.0843,0.2872,0.3261,0.3973,0.3205,0.0426,0.3254,0.1632,0.4436,0.4277,0.5326,0.5659,0.4712,0.6451,0.5993,0.6736,0.8177,0.7946,0.9436,0.7366,0.8714,0.8492,0.8571,0.9362
it,0.0684,0.011,0.0291,0.1864,0.1957,0.2055,0.213,0.0073,0.1973,0.0114,0.2124,0.3002,0.4243,0.4908,0.3414,0.4706,0.4929,0.6226,0.8191,0.8013,0.9423,0.76,0.8597,0.8435,0.871,0.8105
ca,0.2631,0.1471,0.1585,0.263,0.2981,0.339,0.2914,0.1869,0.2001,0.1637,0.3961,0.3676,0.5081,0.5415,0.464,0.6058,0.6454,0.317,0.602,0.7812,0.8373,0.7412,0.8657,0.8441,0.8655,0.9311
hi,0.0338,0.1066,0.0891,0.1756,0.3882,0.2603,0.1496,0.1823,0.221,0.2203,0.2728,0.4045,0.5585,0.5454,0.4844,0.5816,0.7447,0.6179,0.7533,0.8013,0.9393,0.7545,0.8604,0.8412,0.8766,0.9361
pl,0.1294,0.2071,0.2006,0.2972,0.4255,0.4692,0.3049,0.1959,0.3808,0.2845,0.3883,0.4245,0.5359,0.6938,0.4798,0.6707,0.7199,0.6528,0.8473,0.808,0.944,0.7765,0.8708,0.8503,0.8696,0.938
