train/target,hun,tel
glg,0.8528,0.8571
tur,0.8611,0.8821
dan,0.8579,0.8641
ind,0.8521,0.8779
ukr,0.883,0.8807
eus,0.8487,0.8835
por,0.8409,0.853
nld,0.8531,0.8821
eng,0.8492,0.8571
ita,0.8435,0.871
cat,0.8441,0.8655
hin,0.8412,0.8766
pol,0.8503,0.8696
fra,0.8365,0.8516
fin,0.8556,0.8585
lat,0.8493,0.8544
est,0.853,0.8419
kor,0.8538,0.8738
rus,0.8553,0.8669
ces,0.8323,0.8682
