train/target,pcm,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,lit,bel,mar,tam,gle,hun,tel,afr
hye,0.2966,0.1136,0.2474,0.3261,0.2705,0.2199,0.2138,0.3492,0.2307,0.3131,0.464,0.6009,0.6052,0.5035,0.665,0.7066,0.8524,0.8393,0.7989,0.8755,0.8886,0.8738,0.9478
lit,0.2967,0.1336,0.2083,0.3665,0.3801,0.2106,0.2168,0.3679,0.2179,0.3775,0.3832,0.5179,0.6071,0.4813,0.6601,0.6736,0.8401,0.8259,0.7952,0.8734,0.8716,0.8766,0.9436
bel,0.0036,0.036,0.1585,0.1739,0.1952,0.1341,0.103,0.3665,0.0937,0.1753,0.4197,0.5544,0.6127,0.4862,0.636,0.6802,0.8582,0.8192,0.798,0.8712,0.8835,0.8627,0.9468
mar,0.2302,0.1532,0.2619,0.3975,0.2534,0.2336,0.2339,0.3398,0.333,0.25,0.4262,0.56,0.5689,0.5155,0.616,0.6283,0.843,0.8348,0.803,0.8726,0.8926,0.8738,0.9494
tam,0.2806,0.19,0.2292,0.4037,0.2671,0.2391,0.2312,0.324,0.2445,0.2895,0.4757,0.6049,0.5408,0.5305,0.6546,0.6358,0.8285,0.8214,0.8081,0.8749,0.894,0.8821,0.9465
gle,0.2058,0.2188,0.2496,0.323,0.75,0.3982,0.1223,0.3182,0.2431,0.4057,0.385,0.5883,0.5528,0.4869,0.6137,0.6255,0.8386,0.8304,0.8012,0.8786,0.8873,0.8599,0.9458
hun,0.26,0.1312,0.3356,0.3665,0.3322,0.2602,0.2336,0.3564,0.216,0.3831,0.4432,0.5652,0.5744,0.5334,0.657,0.6745,0.8307,0.8371,0.8026,0.8746,0.8941,0.8752,0.9462
tel,0.3165,0.2268,0.2768,0.5093,0.3527,0.2548,0.2695,0.3578,0.2954,0.2624,0.4484,0.5708,0.5299,0.5187,0.6201,0.6538,0.8032,0.8415,0.7994,0.8734,0.8953,0.8863,0.9445
afr,0.2441,0.0734,0.1767,0.3882,0.2534,0.2075,0.2095,0.2383,0.0871,0.3262,0.3981,0.5251,0.566,0.4664,0.5923,0.5689,0.8068,0.8237,0.7801,0.8736,0.8659,0.8807,0.948
vie,0.1949,0.2395,0.2597,0.4379,0.4007,0.2945,0.2203,0.3744,0.2341,0.3983,0.4428,0.5479,0.5554,0.5236,0.5672,0.6387,0.7981,0.7991,0.7719,0.8706,0.8601,0.8696,0.9409
uig,0.3206,0.2885,0.2853,0.5745,0.339,0.2822,0.2457,0.3924,0.3625,0.3343,0.5354,0.5967,0.5878,0.5741,0.6194,0.5915,0.8068,0.8415,0.7939,0.8711,0.8737,0.8779,0.9435
ell,0.0351,0.0276,0.1429,0.1739,0.1952,0.1387,0.1762,0.1915,0.1113,0.1739,0.4066,0.4578,0.5688,0.479,0.6458,0.6736,0.8379,0.8259,0.7943,0.8737,0.8761,0.8655,0.9429
sme,0.3371,0.1728,0.3047,0.3975,0.4349,0.2967,0.2104,0.3549,0.2631,0.5292,0.3834,0.5637,0.5846,0.4974,0.6319,0.666,0.8205,0.7857,0.7925,0.8741,0.8681,0.8724,0.9443
glg,0.2016,0.1451,0.2422,0.3323,0.5034,0.3485,0.1699,0.2714,0.1594,0.3113,0.4084,0.5348,0.4372,0.4295,0.6128,0.6236,0.8111,0.8103,0.7705,0.8659,0.8528,0.8571,0.9397
srp,0.2376,0.1747,0.2868,0.3602,0.4863,0.2973,0.1786,0.3636,0.2393,0.4473,0.3696,0.5446,0.6916,0.4652,0.6314,0.6821,0.8466,0.8103,0.7645,0.8772,0.8605,0.8599,0.9417
got,0.1229,0.1594,0.1324,0.2298,0.1164,0.1721,0.0632,0.1476,0.1794,0.2251,0.4143,0.5745,0.5704,0.4951,0.6114,0.6472,0.8357,0.8281,0.7888,0.8695,0.8561,0.8849,0.9466
tur,0.1921,0.1667,0.2533,0.5373,0.3733,0.2963,0.1695,0.3643,0.3059,0.317,0.4568,0.5129,0.5569,0.573,0.6288,0.6311,0.7873,0.8304,0.7732,0.8729,0.8611,0.8821,0.94
zho,0.0035,0.2024,0.17,0.1739,0.1952,0.1361,0.4093,0.3456,0.2131,0.1732,0.4548,0.4884,0.555,0.4868,0.6444,0.6283,0.8039,0.8214,0.7732,0.8694,0.8625,0.8821,0.9388
urd,0.1201,0.1282,0.1536,0.4068,0.2603,0.1723,0.2344,0.2174,0.1413,0.2763,0.3394,0.5252,0.5482,0.2933,0.5004,0.4047,0.7865,0.8192,0.7737,0.8606,0.8603,0.8835,0.9399
chu,0.0914,0.1513,0.1179,0.2329,0.1473,0.1389,0.1125,0.1613,0.1717,0.1286,0.3974,0.5022,0.5574,0.4621,0.5707,0.6189,0.78,0.817,0.7691,0.8722,0.8675,0.8641,0.9422
swe,0.3241,0.162,0.2504,0.3199,0.4315,0.278,0.1727,0.3391,0.2127,0.4681,0.3817,0.5259,0.6229,0.4588,0.627,0.6679,0.814,0.808,0.7609,0.8734,0.8649,0.8641,0.9482
